person,category,type,description,text
Lance_Tingay,writer,A,"British sports journalist and writer, member of the International Tennis Hall of Fame","Lance Tingay (15 July 1915 – 10 March 1990) was a British sports journalist, historian, and author of several tennis books. For many years his annual ranking of top tennis players was ""the only one that counted"" before ATP rankings were introduced in 1973. Tingay began his journalistic career with the Exchange Telegraph news agency. During World War II, he served in the Royal Air Force. Tingay was the tennis correspondent for The Daily Telegraph from 1952 until his retirement in 1981."
Kazimierz_Bein,writer,A,"Polish ophthalmologist, lexicographer, translator and esperantist","Kazimierz Bein (1872 – 15 June 1959), often referred to by his pseudonym Kabe, was a Polish ophthalmologist, the founder and sometime director of the Warsaw Ophthalmic Institute (Warszawski Instytut Oftalmiczny). He was also, for a time, a prominent Esperanto author, translator and activist, until in 1911 he suddenly, without explanation, abandoned the Esperanto movement. Bein became at least as well known for his involvement with Esperanto as for his medical accomplishments, and as much for the manner in which he left the Esperanto movement as for what he had accomplished within it. As a young man, Bein participated in the Polish movement for independence from Russia, for which he was exiled for several years; thus he was forced to finish his medical training in Kazan. Bein authored many technical books and articles, and founded the Warsaw Ophthalmic Institute and the Polish Ophthalmological Society."
Julio_Baghy,writer,A,"Hungarian actor, author, novelist, poet, publisher and Esperantist","Julio Baghy (13 January 1891, Szeged – 18 March 1967, Budapest; in Hungarian Baghy Gyula) was a Hungarian actor and one of the leading authors of the Esperanto movement. He is the author of several famous novels but it is particularly in the field of poetry that he proved his mastery of Esperanto. Baghy was born into a theatrical family — his father was an actor, and his mother a stage prompter. He began learning Esperanto in 1911. He started work as an actor and theatre manager, but the First World War intervened and took him out of his home country for six years."
William_Auld,writer,A,"Scottish poet, author, translator","William Auld (born 6 November 1924 in Erith (Greater London) – died 11 September 2006 in Dollair) was a British (Scottish) poet, author, translator and magazine editor who wrote chiefly in Esperanto. Auld was born at Erith in Kent, and then moved to Glasgow with his parents, attending Allan Glen's School. After wartime service in the Royal Armed Forces, he studied English literature at Glasgow University, and then qualified as a teacher.In 1960, he was appointed to a secondary school in Alloa and he remained there for the rest of his life. He was nominated for the Nobel Prize in Literature in 1999, 2004, and 2006, making him the first person nominated for works in Esperanto.His masterpiece, La infana raso (The Infant Race), is a long poem that, in Auld's words, explores ""the role of the human race in time and in the cosmos,"" and is partly based on The Cantos by Ezra Pound.Auld began to learn Esperanto in 1937 but only became active in the propagation of the language in 1947, and from then on wrote many works in Esperanto. He edited various magazines and reviews, including Esperanto en Skotlando (1949–1955), Esperanto (1955–1958, 1961–1962), Monda Kulturo (1962–1963), Norda Prismo (1968–1972), La Brita Esperantisto (1973–1999) and Fonto (1980–1987).He was Vice President of the Universal Esperanto Association (1977–1980), President of the Academy of Esperanto (1979–1983), and President of the Esperanto PEN Centre (1999–2005)."
Umberto_Eco,writer,A,"Italian semiotician, essayist, philosopher, literary critic, and novelist","Umberto Eco  (5 January 1932 – 19 February 2016) was an Italian medievalist, philosopher, semiotician, cultural critic, political and social commentator, and novelist. In English, he is  best known for his popular 1980 novel The Name of the Rose, a historical mystery combining semiotics in fiction with biblical analysis, medieval studies, and literary theory, and  Foucault's Pendulum, his 1988 novel which touches on similar themes.Eco wrote prolifically throughout his life, with his output including children's books, translations from French and English, and a twice-monthly newspaper column “La Bustina di Minerva” (Minerva’s Matchbook) in the magazine L'Espresso beginning in 1985, with his last column (a critical appraisal of the Romantic paintings of Francesco Hayez) appearing 27 January 2016. At the time of his death, he was an emeritus professor at the University of Bologna, where he taught for much of his life. Eco was born on 5 January 1932 in the city of Alessandria, in Piedmont in northern Italy, and he attended high school there. His father, Giulio, one of thirteen children, was an accountant before the government called him to serve in three wars."
Probal_Dasgupta,writer,A,former president of the Universala Esperanto-Asocio,"Probal Dasgupta (born 1953 in Kolkata, India) is an Indian Linguist, Esperanto speaker and activist. Dasgupta's interest in linguistics started at a very young age. He published his first article in phonology at the age of eighteen in  Indian Linguistics the journal of the Linguistic Society of India His 1980 New York University Ph.D dissertation Questions and Relative and Complement Clauses in a Bangla Grammar is considered one of the seminal works in Bangla syntax. Apart from syntax Dasgupta has worked and written a great deal on morphology and sociolinguistics. He has developed a new approach to linguistics, called Substantivism, in partnership with Rajendra Singh, whose approach to morphology (Whole Word Morphology) forms part of the substantivist programme."
Susan_Polgar,writer,A,Hungarian chess player,"Susan Polgar (born April 19, 1969, as Polgár Zsuzsanna and often known as Zsuzsa Polgár) is a Hungarian and American chess player. Polgár was Women's World Champion from 1996 to 1999. On the FIDE rating list of July 1984, at the age of 15, she became the top-ranked female player in the world. In 1991 she became the third woman to be awarded the title of Grandmaster by FIDE. She won twelve medals at the Women's Chess Olympiad (5 gold, 4 silver and 3 bronze)."
Boris_Kolker,writer,A,"language teacher, translator","Boris Grigorevich Kolker (Russian: Борис Григорьевич Колкер; born July 15, 1939 in Tiraspol, Moldavian ASSR, Soviet Union) is a language teacher, translator and advocate of the international language Esperanto. He was until 1993 a Soviet and Russian citizen and since then has been a resident and citizen of the United States residing in Cleveland, Ohio. In 1985 he was awarded a Ph.D. in linguistics from the Institute of Linguistics of the Academy of Sciences of the USSR in Moscow. Dr. Kolker learned Esperanto in 1957 and is the author of articles on interlinguistics, book reviews and three famous Esperanto textbooks for students of different levels. Due to the great popularity of his book eo:Vojaĝo en Esperanto-lando (Travels in Esperanto-Land), which is both a proficiency course in Esperanto and a guidebook to Esperanto culture, he is known to many as a guide to Esperanto-Land.Kolker is a member of the Academy of Esperanto, an honorary member of the World Esperanto Association (Universala Esperanto Asocio), and an associate editor of the monthly magazine Monato."
Sonja_Lang,writer,A,"linguist and translator, creator of Toki Pona","Toki Pona (IPA: [ˈtoki ˈpona] (listen); English: ) is a philosophical artistic constructed language (or philosophical artlang) known for its small vocabulary. It was created by Canadian linguist and translator Sonja Lang for the purpose of simplifying thoughts and communication. It was first published online in 2001 as a draft, and later in complete form in the book Toki Pona: The Language of Good in 2014. A small community of speakers developed in the early 2000s. While activity mostly takes place online in chat rooms, on social media, and in other groups, there were a few organized in-person meetings during the 2000s and 2010s."
Daniel_Tammet,writer,A,"British writer, essayist and autistic savant","Daniel Tammet  (born 31 January 1979) is an English essayist, novelist, poet, translator, and autistic savant. His memoir, Born on a Blue Day (2006), is about his early life with Asperger syndrome and savant syndrome, and was named a ""Best Book for Young Adults"" in 2008 by the American Library Association's Young Adult Library Services magazine. His second book, Embracing the Wide Sky, was one of France's best-selling books of 2009. His third book, Thinking in Numbers, was published in 2012 by Hodder & Stoughton in the United Kingdom and in 2013 by Little, Brown and Company in the United States and Canada. In 2016 he published his debut novel, Mishenka, in France and Quebec."
Jorge_Camacho_(writer),writer,A,writer in Esperanto and Spanish,"Jorge Camacho Cordón (born 18 November 1966, Zafra) is a writer in Esperanto and Spanish. Camacho was born in Zafra, Spain and learned Esperanto in 1980. He was a member of the Academy of Esperanto from 1992 until 2001. Since 1995 he has worked in Brussels as an interpreter for the European Union from English and Finnish into Spanish. Camacho was elected to the Academy of Esperanto in 1992, but on 15 August 2001 he announced his resignation due to disappointment with the Esperanto movement."
Tron_Øgrim,writer,A,"Norwegian journalist, author and politician (1947-2007)","Tron Øgrim (Norwegian pronunciation: [trun øɡrim]; 27 June 1947 – 23 May 2007) was a Norwegian journalist, author and politician. He was active in Socialist Youth Union (later Red Youth) from 1965  to 1973, and a central figure in the Workers' Communist Party from 1973 to 1984. In addition to being a politician, Øgrim was an author of political works and several science fiction novels. He was notable for communicating in a non-standard eastern Oslo dialect, even where he might have been expected to use standardized Bokmål. Born in Oslo, Norway, Øgrim was one of the most influential people in Norway's Marxist-Leninist movement in the sixties and seventies."
André_Cluysenaar,painter,A,Belgian painter (1872-1939),"André Edmond Alfred Cluysenaar (31 May 1872, Saint-Gilles - 17 April 1939, Uccle) was a Belgian painter. He was especially known for portraits and female figures. He was member of the Cluysenaar family, descendant from a long line of architects who originated in Aachen, where the family name was spelled ""Klausener"". Perhaps the best-known among these was his grandfather Jean-Pierre Cluysenaar. His wife, Alice Gordon, was related to Lord Byron."
Pierre-Auguste_Renoir,painter,A,French painter and sculptor (1841-1919),"Pierre-Auguste Renoir (French: [pjɛʁ oɡyst ʁənwaʁ]; 25 February 1841 – 3 December 1919) was a French artist who was a leading painter in the development of the Impressionist style. As a celebrator of beauty and especially feminine sensuality, it has been said that ""Renoir is the final representative of a tradition which runs directly from Rubens to Watteau. ""He was the father of actor Pierre Renoir (1885–1952), filmmaker Jean Renoir (1894–1979) and ceramic artist Claude Renoir (1901–1969). He was the grandfather of the filmmaker Claude Renoir (1913–1993), son of Pierre. Pierre-Auguste Renoir was born in Limoges, Haute-Vienne, France, in 1841."
Willem_Claesz._Heda,painter,A,painter from the Northern Netherlands (1594-1680),"Willem Claesz. Heda (December 14, 1593/1594 – c. 1680/1682) was a Dutch Golden Age artist from the city of Haarlem devoted exclusively to the painting of still life. He is known for his innovation of the late breakfast genre of still life painting. Heda was born in Haarlem, the son of the Haarlem city architect Claes Pietersz. His mother Anna Claesdr was a member of the Heda family."
Caspar_Wolf,painter,A,Swiss painter (1735-1783),"Caspar Wolf (Muri, Aargau, 3 May 1735 – Heidelberg, 6 October 1783) was a Swiss painter, known mostly for his dramatic paintings of the Alps. He was strongly influenced by Albrecht von Haller's poems on the Alps, and the Sturm und Drang movement. After 1773 Wolf mostly painted glaciers, caves, waterfalls and gorges. Wolf was the son of a furniture maker, who was banned from his city. Wolf was trained in Konstanz, between 1753 and 1759 he worked in Augsburg, Munich, Passau as a decoration painter."
Édouard_Manet,painter,A,French painter (1832-1883),"Édouard Manet (UK: , US: , French: [edwaʁ manɛ]; 23 January 1832 – 30 April 1883) was a French modernist painter. He was one of the first 19th-century artists to paint modern life, and a pivotal figure in the transition from Realism to Impressionism. Born into an upper-class household with strong political connections, Manet rejected the future originally envisioned for him, and became engrossed in the world of painting. His early masterworks, The Luncheon on the Grass (Le déjeuner sur l'herbe) and Olympia, both 1863, caused great controversy and served as rallying points for the young painters who would create Impressionism. Today, these are considered watershed paintings that mark the start of modern art."
Giovanni_Benedetto_Castiglione,painter,A,"Italian Baroque artist, painter, printmaker and draftsman","Giovanni Benedetto Castiglione (baptized 23 March 1609 – 5 May 1664) was an Italian Baroque painter, printmaker and draftsman, of the Genoese school. He is best known now for his etchings, and as the inventor of the printmaking technique of monotyping. He was known as Il Grechetto in Italy and in France as Le Benédette. Castiglione was born in Genoa. The biographer of Genoese painters, Raffaele Soprani says his parents had him places in the studio of Giovanni Battista Paggi."
Johannes_Vermeer,painter,A,Dutch painter,"Johannes Vermeer ( vər-MEER, vər-MAIR, Dutch: [vərˈmeːr], see below; October 1632 – December 1675) was a Dutch Baroque Period painter who specialized in domestic interior scenes of middle class life. During his lifetime, he was a moderately successful provincial genre painter, recognized in Delft and The Hague. Nonetheless, he produced relatively few paintings and evidently was not wealthy, leaving his wife and children in debt at his death.Vermeer worked slowly and with great care, and frequently used very expensive pigments. He is particularly renowned for his masterly treatment and use of light in his work. ""Almost all his paintings,"" Hans Koningsberger wrote, ""are apparently set in two smallish rooms in his house in Delft; they show the same furniture and decorations in various arrangements and they often portray the same people, mostly women."
Gilbert_Stuart,painter,A,American portrait painter (1755-1828),"Gilbert Charles Stuart (born Stewart; December 3, 1755 – July 9, 1828) was an American painter from Rhode Island Colony who is widely considered one of America's foremost portraitists. His best-known work is an unfinished portrait of George Washington, begun in 1796, which is sometimes referred to as the Athenaeum Portrait. Stuart retained the portrait and used it to paint scores of copies that were commissioned by patrons in America and abroad. The image of George Washington featured in the painting has appeared on the United States one-dollar bill for more than a century and on various postage stamps of the 19th century and early 20th century.Stuart produced portraits of more than 1,000 people, including the first six Presidents. His work can be found today at art museums throughout the United States and the United Kingdom, most notably the Metropolitan Museum of Art and Frick Collection in New York City, the National Gallery of Art in Washington, D.C., the National Portrait Gallery, London, Worcester Art Museum in Massachusetts, and the Museum of Fine Arts, Boston."
Edvard_Munch,painter,A,Norwegian painter and printmaker (1863-1944),"Edvard Munch ( MUUNK; Norwegian: [ˈɛ̀dvɑʈ ˈmʊŋk] (listen); 12 December 1863 – 23 January 1944) was a Norwegian painter. His best known work, The Scream, has become one of the iconic images of world art. His childhood was overshadowed by illness, bereavement and the dread of inheriting a mental condition that ran in the family. Studying at the Royal School of Art and Design in Kristiania (today's Oslo), Munch began to live a bohemian life under the influence of the nihilist Hans Jæger, who urged him to paint his own emotional and psychological state ('soul painting'). From this emerged his distinctive style."
William_Blake,painter,A,English Romantic poet and artist (1757-1827),"William Blake (28 November 1757 – 12 August 1827) was an English poet, painter, and printmaker. Largely unrecognised during his lifetime, Blake is now considered a seminal figure in the history of the poetry and visual arts of the Romantic Age. What he called his prophetic works were said by 20th-century critic Northrop Frye to form ""what is in proportion to its merits the least read body of poetry in the English language"". His visual artistry led 21st-century critic Jonathan Jones to proclaim him ""far and away the greatest artist Britain has ever produced"". In 2002, Blake was placed at number 38 in the BBC's poll of the 100 Greatest Britons."
Nicolas_Poussin,painter,A,French painter (1594-1665),"Nicolas Poussin (UK: , US: , French: [nikɔlɑ pusɛ̃]; June 1594 – 19 November 1665) was the leading painter of the classical French Baroque style, although he spent most of his working life in Rome. Most of his works were on religious and mythological subjects painted for a small group of Italian and French collectors. He returned to Paris for a brief period to serve as First Painter to the King under Louis XIII and Cardinal Richelieu, but soon returned to Rome and resumed his more traditional themes. In his later years he gave growing prominence to the landscapes in his pictures. His work is characterized by clarity, logic, and order, and favors line over color."
Caravaggio,painter,A,Italian painter,"Caravaggio, whose actual name was Michelangelo Merisi (Michele Angelo Merigi or Amerighi) da Caravaggio (, US: , Italian pronunciation: [mikeˈlandʒelo meˈriːzi da kkaraˈvaddʒo]; 29 September 1571 – 18 July 1610), was an Italian painter active in Rome for most of his artistic life. During the final four years of his life he moved between Naples, Malta, and Sicily until his death. His paintings combine a realistic observation of the human state, both physical and emotional, with a dramatic use of lighting, which had a formative influence on Baroque painting.Caravaggio employed close physical observation with a dramatic use of chiaroscuro that came to be known as tenebrism. He made the technique a dominant stylistic element, darkening shadows and transfixing subjects in bright shafts of light. Caravaggio vividly expressed crucial moments and scenes, often featuring violent struggles, torture, and death."
Defendente_Ferrari,painter,A,Italian painter (1490-1540),"Defendente Ferrari (c. 1480/1485  – c. 1540) was an Italian painter active in Piedmont. His work marks the transition from late Gothic traditions to Renaissance art in the region. Ferrari was born at Chivasso, near Turin. Here he trained and initially worked in the workshop of Giovanni Martino Spanzotti. Spanzotti had been the pre-eminent painter in western Piedmont after moving to Chivasso c. 1502."
Pieter_Bruegel_the_Elder,painter,A,Flemish painter (1526-1569),"Pieter Bruegel (also Brueghel or Breughel) the Elder (, also US: ; Dutch: [ˈpitər ˈbrøːɣəl] (listen); c. 1525–1530 – 9 September 1569) was the most significant artist of Dutch and Flemish Renaissance painting, a painter and printmaker, known for his landscapes and peasant scenes (so-called genre painting); he was a pioneer in making both types of subject the focus in large paintings. He was a formative influence on Dutch Golden Age painting and later painting in general in his innovative choices of subject matter, as one of the first generation of artists to grow up when religious subjects had ceased to be the natural subject matter of painting. He also painted no portraits, the other mainstay of Netherlandish art. After his training and travels to Italy, he returned in 1555 to settle in Antwerp, where he worked mainly as a prolific designer of prints for the leading publisher of the day. Only towards the end of the decade did he switch to make painting his main medium, and all his famous paintings come from the following period of little more than a decade before his early death, when he was probably in his early forties, and at the height of his powers."
Cleanthes_(artist),painter,A,"Greek painter from Corinth, active in the early 7th century BCE","Cleanthes (Ancient Greek: Κλεάνθης) was an ancient painter of Corinth, who was mentioned among the inventors of that art by Pliny the Elder and Athenagoras of Athens.A picture by him representing the birth of the goddess Minerva was seen in the temple of Diana near the Alpheius River. This work was not, as the archaeologist Friedrich Wilhelm Eduard Gerhard once said, in a ""ludicrous style"", but rather in the severe style of ancient art. Modern scholars now believe Gerhard to be conflating Cleanthes with the artist Ctesilochus. This article incorporates text from a publication now in the public domain: Urlichs, Ludwig (1870). ""Cleanthes""."
Heinrich_Vogtherr,painter,A,artist (1490-1556),"Heinrich Vogtherr (the Elder) (1490 in Dillingen an der Donau – 1556 in Vienna) was an artist, printer, poet and medical author of the Reformation period. Vogtherr was born in Dillingen an der Donau, his father Conrad was an eye doctor and surgeon. His brother Georg (1487-1539) preached as a priest and reformer, and his brother Bartholomew (149?-1536) was the Bishop of Augsburg and author of medical books. His son was the painter Heinrich Vogtherr the Younger (1513-1568). Vogtherr's art training seems to have taken place in Augsburg."
Marcin_Bogusławski,painter,A,painter,"Marcin Bogusławski (born 1980) is a Polish artist, painter, drawer, graphic and mural painter. He lives and works in Warsaw. Marcin Bogusławski has studied painting and graphics at the Academy of Fine Arts in Warsaw. During his studies (2000-2006) he attended also the guest workshop run by professor Leon Tarasewicz. In 2006 graduated from painting (diploma under supervision of professor Stanisław Baj and diploma appendix from mural painting under supervision of professor Edward Tarkowski)."
Black_Hawk_(artist),painter,A,Sans Arc Lakota ledger artist (1832-1890),"Čhetáŋ Sápa'  (Black Hawk) (c. 1832 – c. 1890) was a medicine man and member of the Sans Arc or Itázipčho band of the Lakota people. He is most known for a series of 76 drawings that were later bound into a ledger book that depicts scenes of Lakota life and rituals. The ledger drawings were commissioned by William Edward Canton, a federal ""Indian trader"" at the Cheyenne River Indian Reservation. Black Hawk's drawings were drawn between 1880-1881. Today they are known as one of the most complete visual records of Lakota cosmology, ritual and daily life."
Paul_Klee,painter,A,German painter (1879-1940),"Paul Klee (German: [paʊ̯l ˈkleː]; 18 December 1879 – 29 June 1940) was a Swiss-born German artist. His highly individual style was influenced by movements in art that included expressionism, cubism, and surrealism. Klee was a natural draftsman who experimented with and eventually deeply explored color theory, writing about it extensively; his lectures Writings on Form and Design Theory (Schriften zur Form und Gestaltungslehre), published in English as the Paul Klee Notebooks, are held to be as important for modern art as Leonardo da Vinci's A Treatise on Painting for the Renaissance. He and his colleague, Russian painter Wassily Kandinsky, both taught at the Bauhaus school of art, design and architecture in Germany. His works reflect his dry humor and his sometimes childlike perspective, his personal moods and beliefs, and his musicality."
Egon_Schiele,painter,A,Austrian painter (1878-1918),"Egon Schiele (German: [ˈʃiːlə] (listen); 12 June 1890 – 31 October 1918) was an Austrian painter. A protégé of Gustav Klimt, Schiele was a major figurative painter of the early 20th century. His work is noted for its intensity and its raw sexuality, and the many self-portraits the artist produced, including nude self-portraits. The twisted body shapes and the expressive line that characterize Schiele's paintings and drawings mark the artist as an early exponent of Expressionism. Schiele was born in 1890 in Tulln, Lower Austria."
Alan_Davie,painter,A,British artist (1920-2014),"James Alan Davie (28 September 1920 – 5 April 2014) was a Scottish painter and musician. Davie was born in Grangemouth in 1920. His father, James William Davie, was a painter who exhibited at the Salon des Artistes Français in 1925. Alan Davie studied at Edinburgh College of Art in the late 1930s. An early exhibition of his work came through the Society of Scottish Artists."
Franz_Marc,painter,A,German painter,"Franz Moritz Wilhelm Marc (8 February 1880 – 4 March 1916) was a German painter and printmaker, one of the key figures of German Expressionism. He was a founding member of Der Blaue Reiter (The Blue Rider), a journal whose name later became synonymous with the circle of artists collaborating in it. His mature works mostly depict animals, and are known for bright colouration. He was drafted to serve in the German Army at the beginning of World War I, and died two years later at the Battle of Verdun. In the 1930s, the Nazis named him a degenerate artist as part of their suppression of modern art."
István_Sándorfi,painter,A,Hungarian artist (1948-2007),"István Sándorfi (In France Étienne Sandorfi, 12 June 1948 in Budapest, Hungary, – 26 December 2007 in Paris, France) was a Hungarian hyperrealist painter. Istvan (known as Etienne) Sandorfi was born in Budapest in 1948 and died in 2007. His father was director of the American company, IBM, in Hungary. Because of this association he served five years in Stalinist prisons during the Communist regime and his family was deported to an isolated Hungarian village. At the time of the 1956 uprising the Sandorfi family fled the country and became expatriates, first in Germany, then in France."
Max_Klinger,painter,A,"German painter, sculptor, printmaker, and writer (1857-1920)","Max Klinger (18 February 1857 – 5 July 1920) was a German artist who produced significant work in painting, sculpture, prints and graphics, as well as writing a treatise articulating his ideas on art and the role of graphic arts and printmaking in relation to painting. He is associated with symbolism, the Vienna Secession, and Jugendstil (Youth Style) the German manifestation of Art Nouveau. He is best known today for his many prints, particularly a series entitled Paraphrase on the Finding of a Glove and his monumental sculptural installation in homage to Beethoven at the Vienna Secession in 1902. Klinger was born in Leipzig, Germany to a wealthy and prominent family. He enrolled in the Academy of Fine Arts in Karlsruhe in 1874 where he was a pupil of Karl (or Carl) Gussow."
Ronald_Golias,painter,A,Brazilian actor and comedian,"Ronald Golias (São Carlos, May 4, 1929 — São Paulo, September 27, 2005) was a Brazilian comedian and actor. From the city of São Carlos, in the state of São Paulo, Brazil, he started as a tailor assistant and insurance agent, amongst other professions. But, during the 50s, he impressed Manoel de Nóbrega, who hired him to work as a comedian, both on TV and on the radio. His first character was named ""Pacífico"", a tongue-in-the-cheek young man, that made famous the catch phrase ""Ô Cride! "", Portuguese for ""Hey, Cride!"
Uri_Geller,painter,A,Israeli illusionist,"Uri Geller (; Hebrew: אורי גלר‎; born 20 December 1946) is an Israeli-British illusionist, magician, television personality, and self-proclaimed psychic. He is known for his trademark television performances of spoon bending and other illusions. Geller uses conjuring tricks to simulate the effects of psychokinesis and telepathy. Geller's career as an entertainer has spanned more than four decades, with television shows and appearances in many countries. Geller was born on 20 December 1946 in Tel Aviv, which was then part of British-administered Mandatory Palestine."
Franz_Stuck,painter,A,"German painter, sculptor, printmaker, and architect (1863-1928)","Franz von Stuck (February 23, 1863 – August 30, 1928) was a German painter, sculptor, printmaker, and architect. Stuck was best known for his paintings of ancient mythology, receiving substantial critical acclaim with The Sin in 1892. In 1906, Stuck was awarded the Order of Merit of the Bavarian Crown and was henceforth known as Franz Ritter von Stuck. Born at Tettenweis near Passau, Stuck  displayed an affinity for drawing and caricature from an early age. To begin his artistic education he relocated in 1878 to Munich, where he would settle for life."
Koloman_Moser,painter,A,Austrian painter (1868-1918),"Koloman Moser (German: [ˈkoːloman ˈmoːzɐ]; 30 March 1868 – 18 October 1918) was an Austrian artist who exerted considerable influence on twentieth-century graphic art and one of the foremost artists of the Vienna Secession movement and a co-founder of Wiener Werkstätte. Moser designed a wide array of art works, including books and graphic works from postage stamps to magazine vignettes; fashion; stained glass windows, porcelains and ceramics, blown glass, tableware, silver, jewelry, and furniture. Born in Vienna, Moser studied at the Wiener Akademie and the Kunstgewerbeschule, where he also taught from 1899. Moser's designs in architecture, furniture, jewellery, graphics, and tapestries helped characterise the work of this era. He drew upon the clean lines and repetitive motifs of classical Greek and Roman art and architecture in reaction to the Baroque decadence of his turn-of-the-century Viennese surroundings."
Rudy_Youngblood,painter,A,Native American actor,"Rudy Youngblood (born Rudy Gonzalez, September 21, 1982), is an American actor, musician, dancer, and artist of Native American and Hispanic heritage. He was born in Belton, Texas. Youngblood's ancestry is Cree and Comanche. Born in Belton, Texas, Rudy Youngblood grew up with two younger sisters; they were supported by their mother who is of Comanche descent. Rudy's adopted father was of Cree descent."
Raoul_Dufy,painter,A,French artist (1877-1953),"Raoul Dufy (French: [ʁa.ul dy.fi]; 3 June 1877 – 23 March 1953) was a French Fauvist painter, brother of Jean Dufy. He developed a colorful, decorative style that became fashionable for designs of ceramics and textiles, as well as decorative schemes for public buildings. He is noted for scenes of open-air social events. He was also a draftsman, printmaker, book illustrator, scenic designer, a designer of furniture, and a planner of public spaces. Raoul Dufy was born into a large family at Le Havre, in Normandy."
Egon_Eiermann,architect,Z,architect,"Egon Eiermann (29 September 1904 – 20 July 1970) was one of Germany's most prominent architects in the second half of the 20th century. Eiermann was born in Neuendorf bei Potsdam (now part of Babelsberg, Potsdam), and studied at the Technical University of Berlin. He worked for the Karstadt building department for a time, and before World War II had an office with fellow architect Fritz Jaenecke. He joined the faculty of the university in Karlsruhe in 1947, working there on  developing steel frame construction methods. He died in Baden-Baden, aged 65."
Hermann_Helmer,architect,Z,German-Austrian architect,"Hermann Gottlieb Helmer (13 July 1849 – 2 April 1919) was a German architect who mainly worked in Austria. After completing an apprenticeship as a bricklayer, and some further education he joined the architecture firm of Ferdinand Fellner, Sr. After his death he founded the architecture studio Fellner & Helmer together with his son Ferdinand Fellner in 1873."
Georg_Wenzeslaus_von_Knobelsdorff,architect,Z,German artist (1699-1753),"Hans Georg Wenzeslaus von Knobelsdorff (17 February 1699 – 16 September 1753) was a painter and architect in Prussia. Knobelsdorff was born in Kuckädel, now in Krosno Odrzańskie County. A soldier in the service of Prussia, he resigned his commission in 1729 as captain so that he could pursue his interest in architecture. In 1740 he travelled to Paris and Italy to study at the expense of the new king, Frederick II of Prussia. Knobelsdorff was influenced as an architect by French Baroque Classicism and by Palladian architecture."
Peter_Joseph_Lenné,architect,Z,Prussian gardener and landscape architect (1789-1866),"Peter Joseph Lenné (the Younger) (29 September 1789 – 23 January 1866) was a Prussian gardener and landscape architect. As director general of the Royal Prussian palaces and parks in Potsdam and Berlin, his work shaped the development of 19th-century German garden design in the Neoclassical style. Laid-out according to the principles of the English landscape garden, his parks are today part of the UNESCO World Heritage. Lenné was born in Bonn, then part of the Electorate of Cologne, the son of the court and university gardener Peter Joseph Lenné the Elder (1756–1821), and his wife, Anna Catharina Potgieter (also Potgeter), daughter of the mayor of Rheinberg. The Lenné family descended from the Prince-Bishopric of Liège, Peter Joseph's ancestor Augustin Le Neu had settled in Poppelsdorf near Bonn as court gardener of Archbishop-Elector Maximilian Henry of Bavaria about 1665."
Ernst_Ziller,architect,Z,"German architect, active in Greece","Ernst Moritz Theodor Ziller (Greek: Ερνέστος Τσίλλερ, Ernestos Tsiller  (22 June 1837 – 4 November 1923) was a German born university teacher and architect who later became a Greek national. In the late 19th and early 20th centuries, he was a major designer of royal and municipal buildings in Athens, Patras, and other Greek cities. Ziller was born in the rural community of Serkowitz in the district of Radebeul in Saxony. After graduating from the Dresden Academy of Fine Arts in 1858, he went to work for Danish architect Theophilus Hansen. In 1861, Hansen sent him to Athens."
Friedrich_Adler_(architect),architect,Z,"Architect, archaeologist","Friedrich Adler (15 October 1827 – 15 September 1908) was a German architect and archaeologist. After having studied at the Bauakademie (Academy of Architecture) in his native Berlin, he began teaching there in 1855, and was soon famous for building churches. In 1863 he was named a professor of architectural history at the Academy.Due to his profound knowledge of antique architecture, he took part of Ernst Curtius' archaeological expedition to Asia Minor. He was part of the leading directory of the major excavations in Olympia (1874–81), and took part in the planning of the whole enterprise, which was at first scheduled to last no more than five years. At one point, he was even leader of the excavations."
Friedrich_von_Gärtner,architect,Z,German architect,"Friedrich von Gärtner (10 December 1791 in Koblenz – 21 April 1847 in Munich) was a German architect. His father was also an architect, and moved in 1804 to Munich, where young Gärtner received his first education in architecture. To complete that education, he went in 1812 to Paris, where he studied under Percier, and in 1814 to Italy, where he spent four years in the earnest study of antiquities. The fruits of this labor appeared in 1819 in some views accompanied by descriptions of the principal monuments of Sicily (Ansichten der am meisten erhaltenen Monumente Siciliens). After a visit to England, Gärtner was appointed, in 1820, professor of architecture in the Academy of Munich."
George_Bähr,architect,Z,German architect,"George Bähr (15 March 1666 – 16 March 1738) was a German architect. George Bähr was born into a poor family in Fürstenwalde (now a part of Geising, Saxony), the son of a weaver. The village priest, however, helped pay for his education, and Bähr was able to become a carpenter's apprentice in Lauenstein, Saxony. In 1690, Bähr went to Dresden to start work as a carpenter. His dream was to go to Italy and see the famous buildings there, so in his spare time he studied mechanics, calling himself both an artist and a mechanic, and designing not only castles and palaces but also sketches of organs."
